Batch Size,Time Steps,LSTM Units,Final Training Loss,Final Validation Loss,Epochs Trained
16,10,32,539.0221557617188,86.91739654541016,360
16,10,64,572.1884765625,90.9888687133789,206
16,10,86,506.71356201171875,84.68927764892578,211
16,20,32,460.275390625,80.7854995727539,481
16,20,64,502.3127746582031,95.63627624511719,238
16,20,86,448.0880432128906,70.29270935058594,247
16,30,32,464.4930725097656,96.98006439208984,482
16,30,64,461.8963623046875,73.8038101196289,298
16,30,86,547.7186279296875,86.75272369384766,167
32,10,32,511.19415283203125,85.97838592529297,385
16,10,32,583.227783203125,92.29373168945312,363
16,10,64,511.51239013671875,77.42825317382812,223
16,10,86,512.8103637695312,112.05305480957031,185
16,20,32,468.9400939941406,51.99042510986328,500
16,20,64,534.019775390625,86.57894897460938,210
16,20,86,383.0541687011719,62.59537887573242,335
16,30,32,501.5235900878906,82.90907287597656,425
16,30,64,585.790771484375,82.53734588623047,255
16,30,86,460.5673522949219,74.16654968261719,255
32,10,32,718.8073120117188,84.66007232666016,290
32,10,64,553.2943115234375,95.51080322265625,194
32,10,86,586.3424072265625,81.06300354003906,183
32,20,32,506.1419982910156,48.919166564941406,500
32,20,64,528.2877197265625,95.54534149169922,208
32,20,86,479.7064514160156,71.20602416992188,225
32,30,32,498.8501281738281,92.6768798828125,419
32,30,64,482.24420166015625,76.33827209472656,285
32,30,86,606.2527465820312,102.71014404296875,148
64,10,32,529.842529296875,80.2811050415039,462
64,10,64,552.7313842773438,94.39600372314453,196
64,10,86,529.6344604492188,100.58031463623047,171
64,20,32,544.0498046875,86.49346923828125,356
64,20,64,527.2339477539062,80.78267669677734,241
64,20,86,493.1840515136719,64.43311309814453,260
64,30,32,473.0784606933594,77.462646484375,500
64,30,64,590.333251953125,81.44752502441406,203
64,30,86,525.7802734375,77.61312866210938,177
